
gender
,asian_females,white_females,indian_females,asian_males,white_males,black_females,indian_males,black_males,Asian_Females,White_Females,Asian_Males,White_Males,Black_Females,Black_Males
DP1,"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[3, 1, 0, 0, 0]]","[[3, 2, 1, 0, 0]]","[[4, 2, 1, 0, 0]]","[[6, 6, 6, 4, 1]]","[[7, 7, 6, 6, 6]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[5, 5, 1, 0, 0]]"
,asian_females,asian_males,black_females,black_males,indian_females,indian_males,white_males,white_females,White_Males,White_Females,Asian_Males,Asian_Females,Black_Females,Black_Males
DP2,"[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[3, 3, 0, 0, 0]]","[[4, 3, 1, 0, 0]]","[[4, 3, 3, 0, 0]]","[[6, 5, 3, 1, 0]]","[[7, 7, 7, 6, 3]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[4, 1, 0, 0, 0]]","[[4, 2, 0, 0, 0]]"
,asian_females,indian_females,white_females,black_females,asian_males,white_males,indian_males,black_males,White_Females,Asian_Females,White_Males,Asian_Males,Black_Females,Black_Males
CIAGAN,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[5, 2, 0, 0, 0]]","[[6, 5, 1, 0, 0]]","[[7, 6, 5, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[3, 0, 0, 0, 0]]","[[5, 5, 5, 4, 0]]"
blur
,BFW,,,,,,,,DemogPairs,,,,,
,black_males,white_females,indian_males,black_females,asian_males,indian_females,white_males,asian_females,White_Females,White_Males,Black_Females,Asian_Females,Asian_Males,Black_Males
DP1,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[4, 1, 0, 0, 0]]","[[4, 2, 0, 0, 0]]","[[5, 2, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[3, 3, 2, 0, 0]]","[[3, 3, 3, 0, 0]]","[[5, 5, 3, 3, 1]]"
,black_males,black_females,white_females,white_males,asian_males,indian_males,asian_females,indian_females,White_Females,White_Males,Black_Females,Asian_Females,Asian_Males,Black_Males
DP2,"[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 0, 0, 0, 0]]","[[6, 6, 0, 0, 0]]","[[6, 6, 1, 0, 0]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[3, 1, 0, 0, 0]]","[[4, 3, 1, 0, 0]]","[[5, 4, 3, 0, 0]]"
,black_males,black_females,white_males,asian_males,indian_males,white_females,indian_females,asian_females,White_Males,White_Females,Black_Females,Black_Males,Asian_Males,Asian_Females
CIAGAN,"[[0, 0, 0, 0, 0]]","[[1, 1, 0, 0, 0]]","[[2, 1, 1, 0, 0]]","[[2, 1, 1, 0, 0]]","[[2, 1, 1, 0, 0]]","[[5, 4, 1, 1, 0]]","[[6, 5, 2, 1, 0]]","[[6, 5, 2, 1, 1]]","[[0, 0, 0, 0, 0]]","[[1, 0, 0, 0, 0]]","[[2, 2, 0, 0, 0]]","[[2, 2, 1, 0, 0]]","[[4, 4, 3, 2, 0]]","[[5, 5, 4, 4, 2]]"
